pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions
Charlotte Lucas→Elizabeth,0.0595238095238095,,0.0,0.0129870129870129,0.1309523809523809,,-0.0054945054945054,
Colonel Fitzwilliam→Elizabeth,-0.0999999999999999,-0.0787878787878788,-0.0047619047619047,-0.0969696969696969,-0.0307692307692307,,0.0,-0.0142857142857143
Elizabeth→Charlotte Lucas,,,0.0,,,,0.0,
Elizabeth→Colonel Fitzwilliam,,,-0.0047619047619047,-0.0666666666666666,0.0499999999999999,,0.0,-0.0166666666666667
Elizabeth→George Wickham,0.0486772486772486,0.0857142857142857,0.0214285714285714,-0.0071428571428571,-0.0197802197802197,-0.0043956043956043,-0.005911330049261,0.0409937888198757
Elizabeth→Jane,0.0318996415770609,0.1738351254480287,0.0050055617352613,-0.0086848635235732,0.1084420041180508,0.0483870967741935,-0.0010752688172043,0.01034692635423
Elizabeth→Lady Catherine De Bourgh,0.0064935064935065,0.1660714285714285,0.0167487684729064,0.0,0.1038961038961039,0.0168067226890756,-0.0036866359447004,0.0571428571428571
Elizabeth→Mr. Bennet,-0.0499999999999999,,-0.0088235294117646,0.0666666666666666,0.0,,0.0,-0.0166666666666666
Elizabeth→Mr. Darcy,-0.0207746478873239,0.0325980392156862,-0.0043831168831168,0.0201923076923077,0.0296296296296296,0.0916666666666666,0.0121835443037974,0.0160714285714286
Elizabeth→Mrs. Bennet,,,0.0,,-0.0419580419580419,,-0.013986013986014,
Elizabeth→Mrs. Gardiner,0.0411764705882352,0.0499999999999999,0.0,0.0,-0.0222222222222222,-0.0166666666666666,0.0,0.1071428571428571
George Wickham→Elizabeth,0.0027649769585252,0.05,0.0181818181818181,-0.0137931034482758,0.0044642857142856,0.0117647058823529,-0.0050420168067227,0.0571428571428571
Jane→Elizabeth,-0.0034246575342465,0.0462791558681969,0.005001087192868,0.0062071917808219,0.0334605883673927,0.0600408044301953,-0.0007717538105344,0.033236020660229
Lady Catherine De Bourgh→Elizabeth,0.0209790209790209,0.119106699751861,0.0427350427350426,0.0352564102564102,0.0732600732600732,-0.0345596432552953,-0.0026990553306343,0.0062370062370061
Miss Bingley→Mr. Bingley,,,0.0,,,,0.0,
Miss Bingley→Mr. Darcy,0.0333333333333333,0.0170940170940171,-0.0098039215686275,0.0111111111111111,0.0,,0.0,0.1025641025641026
Mr. Bennet→Elizabeth,0.0101010101010101,-0.0333333333333333,-0.0064935064935065,-0.0430622009569378,0.0263157894736841,,0.0,-0.0574162679425837
Mr. Bennet→Mrs. Bennet,0.1337792642140468,-0.0199430199430199,-0.0033738191632928,0.0629370629370629,-0.0272952853598015,0.0464743589743589,-0.0013495276653171,0.0344551282051281
Mr. Bingley→Miss Bingley,,,0.0,,0.0,,0.0,
Mr. Bingley→Mr. Darcy,,,0.0,,,,0.0,
Mr. Darcy→Elizabeth,-0.0033783783783783,0.0576236613972462,-0.0074844074844074,-0.0061425061425061,0.0534909909909909,0.023539668700959,-0.0003753753753753,0.0203810367744793
Mr. Darcy→Miss Bingley,-0.0119047619047618,,-0.0158730158730159,-0.057142857142857,0.0562770562770563,,0.0,0.0073260073260074
Mrs. Bennet→Elizabeth,-0.0361990950226244,0.0294117647058823,-0.0036764705882352,-0.0147058823529411,-0.0078431372549019,0.0481283422459892,0.0,0.0
Mrs. Bennet→Jane,,,0.0,,,,,0.0
Mrs. Bennet→Mr. Bennet,0.1282051282051282,-0.0890688259109312,0.0197802197802197,-0.0069930069930069,-0.0025641025641025,0.032051282051282,-0.0013860013860013,0.0030165912518853
Mrs. Gardiner→Elizabeth,-0.0113636363636363,0.1174242424242424,0.0,0.0583333333333333,-0.0109649122807018,-0.0952380952380952,0.0,0.0
